"Bramki Na Wyjeździe Liczą Się Podwójnie","Karniowickie Skały","Trybuna A",6,V+,pionowa,ubezpieczona
"Cześć i dziękuję za ryby","Apteka","Apteka - ściana północno-wschodnia",22,IV+,pionowa,ubezpieczona
"Debiut w Dubiu","Dolina Racławki","Jupiter",14,V,pionowa,ubezpieczona
"Drobne cwaniaczki","Góra Zamkowa","Biały Filar i Dziurawa",15,VI.2,pionowa,ubezpieczona
"Droga Bały (2 wyciąg)","Sokolica","Sokolica",30,IV,pionowa,asekuracja własna
"Droga pod wampirem","Skała Nad Wsią","Skała Nad Wsią",16,VI.3,mieszana,ubezpieczona
"EB","Rejon Turni Kukuczki","Mały Cyrk",10,V+,pionowa,ubezpieczona
"EB","Ruskowa","Ruskowa",15,VI,pionowa,ubezpieczona
"Filar Wojny","Polny Kamień","Polny Kamień",9,IV,połoga,ubezpieczona
"Gouda","Biały Kamień","Biały Kamień",10,VI.3,pionowa,ubezpieczona
"Hiszpański karawan","Góra Zamkowa","Ratusz",18,VI.4+,mieszana,ubezpieczona
"Immanuel Kant","Immanuel","Immanuel",12,VI.1,pionowa,ubezpieczona
"Io","Wąwóz Półrzeczki","Księżycowa Skała",14,VI.2,mieszana,ubezpieczona
"Komin Sokołowych","Witkowe Skały","Muminek",10,IV,pionowa,asekuracja własna
"Leszcze Niespokojne","Karniowickie Skały","Trybuna A",9,V,mieszana,ubezpieczona
"Lewe ryski marynarzy","Góra Zamkowa","Soczewka, Demon i Wielbłąd",20,VI+,pionowa,asekuracja własna
"Miss Szaletu","Rejon Dziurawej","Dziurawa (Kapuśniak)",15,VI.4,mieszana,ubezpieczona
"MM","Rejon Słonecznej","Okiennik",16,VI.2+,pionowa,asekuracja własna
"Owacja Na Stojąco","Wąwóz Ostryszni","Organy",16,III+,pionowa,ubezpieczona
"Paralizator mocy","Rejon Zamkowej","Locha",10,VI.1,pionowa,ubezpieczona
"Patologia kornika","Czarny Kamień","Czarny Kamień",15,V+,pionowa,ubezpieczona
"Peterejka (1. wyciąg)","Wężowe Skały","Wężowe poniżej Przełazu",25,IV+,pionowa,mieszana
"Prostowanie Piekła","Diabelskie Mosty","Diabelskie Mosty",18,VI.2+,pionowa,ubezpieczona
"Pustka w Wolarzu","Skała pod Prądem","ALF",12,IV,pionowa,ubezpieczona
"Salami Vice","Suchy Połeć","Suchy Połeć",20,VI.5,pionowa,ubezpieczona
"Sam miód","Góra Zamkowa","Zakonnik",14,VI.4,pionowa,ubezpieczona
"Środek Filara","Apteka","Apteka - ściana północno-wschodnia",15,VI+,pionowa,ubezpieczona
"Szach i Matt","Rejon Zamkowej","Knur",23,V+,pionowa,ubezpieczona
"Tarło Leszczy","Karniowickie Skały","Trybuna A",9,III+,połoga,ubezpieczona
"Trzy filary zen","Skała Nad Wsią","Skała Nad Wsią",16,VI.2,pionowa,ubezpieczona
"Ul","Pieninki","Pieninki",18,VI.1,pionowa,ubezpieczona
"Wojna pokoleń","Polny Kamień","Polny Kamień",17,V,połoga,ubezpieczona
"Wojna światów","Polny Kamień","Polny Kamień",16,V,połoga,ubezpieczona
"XP","Słoneczne Skały","Przełaz",14,VI+,pionowa,ubezpieczona
"Żurek Na Żabie","Pazurek","Pazurek - Ściana Główna i Wielki Blok",20,VI.1+,pionowa,ubezpieczona
"(projekt)","Kacza Skała","Kacza Skała",15,?,mieszana,ubezpieczona
"...Kolec w duszy","Tomaszówki","Lewe Tomaszówki",12,VI+/1,pionowa,ubezpieczona
"0,5 l z Bojką","Zastudnie","Czarny Pies",8,V+,pionowa,ubezpieczona
"100% brutalności","Góra Birów","Deszczowa Skała",12,VI.2+,pionowa,ubezpieczona
"12 Groszy","Nielepice","Groszówka",7,VI-,pionowa,ubezpieczona
"12 Małp","Góry Towarne Duże","La Grotta",18,VI.1,pionowa,ubezpieczona
"1410","Góra Birów","Deszczowa Skała",12,VI,pionowa,ubezpieczona
"16 Jan Łary","Dupa Słonia","Murarze i Płaska Turniczka",10,VI.1+,pionowa,ubezpieczona
"17 Sekund","Rejon Słonecznej","Okiennik",28,VI.2+,pionowa,mieszana
"2/3 dylematu","Słoneczne Skały","Ogrodzieniec",15,V+,pionowa,ubezpieczona
"2018 Odyseja Komiczna","Grupa Pytajników","Zapytajnik i Odpowiednik",7,VI.2,pionowa,ubezpieczona
"220 kV","Góra Zamkowa","Skała 504 i Pierdolnik",20,V,pionowa,asekuracja własna
"300 dni w Compakcie","Grupa Zjazdowej Turni","Turnia z Krokiem",20,VI.1,pionowa,ubezpieczona
"40 kroków wśród palm","Dolina Brzoskwinki","Menhir",12,VI.2+,pionowa,ubezpieczona
"4F4 Wildcat","Dolina Brzoskwinki","Dzika Baszta",20,VI.2+/3,mieszana,ubezpieczona
"5-10-15","Goncerzyca","Offy",20,VI.3,pionowa,asekuracja własna
"5.10","Goncerzyca","Offy",20,VI.2+,pionowa,asekuracja własna
"50 twarzy geja","Dolina Racławki","Skotnicowa Skała",12,VI.1+,pionowa,ubezpieczona
"50 Tysięcy Powodów","Nielepice","Złotówka",16,VI,pionowa,ubezpieczona
"6 na 9","Grupa Wysokiej","Wysoka Grań",10,V+,pionowa,asekuracja własna
"6. Armia też marznie","Dolina Racławki","Skotnicowa Skała",12,VI+,pionowa,ubezpieczona
"622 upadki Bunga","Rejon Turni Lechfora","Turnia Cyklopa",23,VI.6,pionowa,ubezpieczona
"7 Barw i 8 Nut","Dolina Brzoskwinki","Skała Artystów",10,VI.3+,pionowa,ubezpieczona
"7 batów","Góra Zamkowa","Lalka, Sfinks i Kapa",8,VI.6,przewieszona,ubezpieczona
"8 Herców","Góra Kołoczek","Lalka",20,VI.3+,pionowa,ubezpieczona
"997","Góra Zamkowa","Adept",14,VI.3,mieszana,ubezpieczona
"998","Góra Zamkowa","Adept",14,VI.2,mieszana,ubezpieczona
"A Cóż To Za Diabeł?","Góry Towarne Małe","Bałwanek",8,VI-,pionowa,asekuracja własna
"A Ja?","Zastudnie","Czarny Pies",10,VI,pionowa,ubezpieczona
"A Liban Tonie","Baba","Baba",15,VI.2,pionowa,ubezpieczona
"A ona taka ta","Pomorzańskie Skałki","Balkony",10,VI.2,mieszana,ubezpieczona
"A Vista","Słoneczne Skały","Przełaz",14,VI.1+,pionowa,ubezpieczona
"A-A-A","Dolina Brzoskwinki","Kazalnica",13,VI.1,pionowa,ubezpieczona
"A-Tak-I-Bólu","Rejon Zamkowej","Knur",10,VI.2,pionowa,ubezpieczona
"Abazy","Filar Abazego","Filar Abazego",28,VI.3+,pionowa,ubezpieczona
"Abazy Pasza","Filar Abazego","Filar Abazego",22,VI.3,pionowa,ubezpieczona
"Abazy w prawo","Filar Abazego","Filar Abazego",30,VI.3+,pionowa,ubezpieczona
"Abazy Wprost","Filar Abazego","Filar Abazego",28,VI.4,pionowa,ubezpieczona
"Abit non obit","Cmentarzysko","Lewe Cmentarzysko",15,VI.5,mieszana,ubezpieczona
"Abordaż","Okręt i Żabka","Okręt",14,VI.1+,pionowa,ubezpieczona
"Aborygen","Skały Przy Zamku","Studnisko Przy Zamku",12,VI+,pionowa,mieszana
"Abrakadabra","Maniakówka","Maniakówka",20,VI.4,mieszana,ubezpieczona
"Abramis brama","Cmentarzysko","Lewe Cmentarzysko",26,VI.3/3+,mieszana,ubezpieczona
"Absolut","Grupa Wysokiej","Wysoka Grań",14,VI+,pionowa,asekuracja własna
"Absolut wprost","Grupa Wysokiej","Wysoka Grań",14,VI.1,pionowa,asekuracja własna
"Absolutny pion","Brzuchacka Skała","Brzuchacka Skała",18,V+,pionowa,ubezpieczona
"Abstraktura","Wąwóz Ostryszni","Organy",18,VI.2,mieszana,ubezpieczona
"Acapulco","Grupa Mamutowej Skały","Jaskinia Mamutowa",28,?,mieszana,ubezpieczona
"Acapulco extension","Grupa Mamutowej Skały","Jaskinia Mamutowa",30,?,mieszana,ubezpieczona
"Acces Granted","Dolina Brzoskwinki","Cygańska",12,VI.1+,pionowa,ubezpieczona
"Adalbert","Łyse Skały","Łyse Plecy",15,VI,mieszana,ubezpieczona
"Adam Zygzak","Zubowe Skały","Kwadratowa, Biała i Ostatnia",14,VI.1,pionowa,asekuracja własna
"Adios Amigos","Gołębnik","Gołębnik",25,VI.3+,pionowa,ubezpieczona
"Adoracja pantofelka","Góra Birów","Okiennik Birowski",15,VI+,pionowa,ubezpieczona
"Adrenalina Skoczyła","Rejon Zamkowej","Knur",15,VI.1,pionowa,ubezpieczona
"Afera karabinkowa","Migdałkowa","Migdałkowa",18,VI.1,pionowa,ubezpieczona
"Agatkowa niedziela","Grupa Bramy Będkowskiej","Rotunda, Lisia Baszta i Sernik",25,VI.1,pionowa,ubezpieczona
"Agent Dołu","Diabelskie Mosty","Diabelskie Mosty",18,VI.4+,mieszana,ubezpieczona
"Agent Tomek","Grupa Mamutowej Skały","Jaskinia Mamutowa",12,VI.2,mieszana,ubezpieczona
"Agonia Gamonia","Wąwóz Ostryszni","Kowadło i Fortepian",14,IV,pionowa,ubezpieczona
"Agrado","Grupa Zaklętego Muru","Zaklęty Bastion",12,VI.5,mieszana,ubezpieczona
"Agrafka Wieżycy","Jastrzębnik","Wieżyca",18,VI.1+,mieszana,mieszana
